TT,Tên thực phẩm,"Tỉ lệ thải bỏ","Năng lượng",Protein,Lipid,Glucid,Canxi,"Phot pho",Sắt,Vit.A,"Beta caroten",Vit.B1,Vit.B2,Vit.PP,Vit.C,
1,Gạo nếp cái,0,"344","8,6","1,5","74,5",32,98,"1,2",0,0,"0,14","0,06","2,4",0,
2,Gạo tẻ máy,0,344,"7,9","1,0","75,9",30,104,"1,3",0,0,"0,1","0,03","1,6",0,
3,Kê,2,331,"7,0","3,0","69,0",22,290,"2,7",0,60,"0,4","0,09","1,6",0,
4,Ngô tươi,45,196,"4,1","2,3","39,6",4,170,"0,6",0,-,"0,15","0,08","1,8",12,
5,Bánh bao nhân thịt,0,219,"6,1","0,5","47,5",19,88,"1,5",0,0,"0,1","0,04","1,0",-,
6,Ngô vàng hạt khô,2,354,"8,6","4,7","69,4",30,190,"2,3",0,97,"0,28","0,11","2,0",0,
7,Bánh đúc,0,52,"0,9","0,3","11,3",50,19,"0,4",0,0,-,-,-,0,
8,Bánh mì,0,249,"7,9","0,8","52,6",28,164,"2,0",0,0,"0,1","0,07","0,7",0,
9,Bánh phở,0,143,"3,2","0,4","31,7",16,64,"0,3",0,0,"0,01","0,01","0,2",0,
10,Bánh quẩy,0,292,"8,0","10,8","40,7",-,-,-,0,0,-,-,-,0,
11,Bột gạo nếp,0,362,"8,2","1,6","78,8",12,148,"0,8",0,0,"0,1","0,02","1,7",0,
12,Bột gạo tẻ,0,359,"6,6","0,4","82,2",24,135,"1,9",0,0,"0,08","0,05","2,1",0,
13,Bún,0,110,"1,7",-,"25,7",12,32,"0,2",0,0,"0,04","0,01",13,0,
14,Bột ngô vàng,0,361,"8,3","4,0","73,0",15,170,"2,1",0,97,"0,17","0,08","1,9",0,
15,Mì sợi,0,349,"11,0","0,9","74,2",34,97,"1,5",0,0,"0,1","0,04","1,1",0,
16,Bột mì,0,346,"10,3","1,1","73,6",29,132,"2,0",0,0,"0,18","0,13","1,0",0,
17,Ngô nếp luộc,50,167,"3,9","2,2","32,9",18,146,"0,8",0,0,-,-,-,0,
18,Sắn củ (khoai mì),25,152,"1,1","0,2","36,4",25,30,"1,2",0,,8,"0,03","0,03","0,6",34
19,Khoai lang củ,17,119,"0,8","0,2","28,5",34,49,"1,0",0,,150,"0,05","0,05","0,6",23
20,Củ từ,6,92,"1,5",-,"21,5",28,30,"0,2",0,,0,-,-,-,2
21,Khoai tây,13,93,"2,0","0,1","20,9",10,50,"1,2",0,,5,"0,1","0,05","0,9",10
22,Khoai sọ,18,114,"1,8","0,1","26,5",64,75,"1,5",0,,35,"0,06","0,03","0,1",4
23,Miến dong,0,332,"0,6","0,1","82,2",40,120,"1,0",0,,0,-,-,-,-
24,Bột khoai lang,0,334,"2,2","0,5","80,2",50,95,"2,0",0,,0,"0,24","0,09","1,5",-
25,Bột sắn củ,0,333,"2,4","0,5","79,6",84,37,-,0,,0,"0,02","0,03","0,1",-
26,Đường cát,0,390,0,0,"97,4",178,72,"5,8",0,,0,"0,05","0,1","0,3",0
27,Cùi dừa non,0,40,"3,5","1,7","2,6",4,53,"1,0",0,,0,"0,04","0,03","0,8",6
28,Cùi dừa già,20,368,"4,8","36,0","6,2",30,154,"30,0",0,,0,"0,1","0,01","0,2",2
